范围,前序基线模型_within25_pct,前序基线模型_relative_mae_pct,当前模型_within25_pct,当前模型_relative_mae_pct,within25_change_pp,relative_mae_reduction_pp
全零件-整体,54.19,81.66,85.38,17.11,31.19,64.55
全零件-top1%,70.80,20.79,78.15,16.91,7.35,3.88
全零件-top5%,61.38,27.16,74.36,19.53,12.98,7.63
全零件-top25%,48.13,40.10,71.25,22.47,23.12,17.63
耳片区域-整体,43.26,124.87,68.28,37.10,25.02,87.77
耳片区域-top1%,73.14,18.77,80.84,15.50,7.70,3.27
耳片区域-top5%,70.01,21.41,77.34,17.47,7.33,3.94
耳片区域-top25%,59.73,28.96,73.06,20.80,13.33,8.16
圆盘区域-整体,57.54,68.39,90.61,10.99,33.07,57.40
圆盘区域-top1%,53.33,27.50,74.08,17.28,20.75,10.22
圆盘区域-top5%,47.35,32.24,71.84,18.65,24.49,13.59
圆盘区域-top25%,43.86,44.42,77.36,17.95,33.50,26.47
