region,top_group,points,within25,relative_mae,relative_log_mae
overall,overall,135184771,0.853829,0.171088,0.118169
overall,top1%,1346987,0.781511,0.169063,0.162922
overall,top2%,2698709,0.758691,0.18352,0.17122
overall,top5%,6754216,0.743591,0.195308,0.178726
overall,top10%,13513764,0.726673,0.20383,0.185058
overall,top15%,20272668,0.716688,0.211261,0.190513
overall,top25%,33792248,0.712495,0.224747,0.197315
耳片区域,overall,31666289,0.682811,0.371006,0.235005
耳片区域,top1%,311562,0.808372,0.15498,0.159141
耳片区域,top2%,628170,0.801073,0.158583,0.158868
耳片区域,top5%,1578187,0.77342,0.174738,0.16641
耳片区域,top10%,3161871,0.752295,0.190239,0.175642
耳片区域,top15%,4744788,0.742996,0.198095,0.180391
耳片区域,top25%,7912555,0.730605,0.207983,0.186709
圆盘区域,overall,103518482,0.906144,0.109933,0.082429
圆盘区域,top1%,1029860,0.740789,0.172788,0.18261
圆盘区域,top2%,2065209,0.729109,0.180153,0.187579
圆盘区域,top5%,5170909,0.71835,0.18646,0.190946
圆盘区域,top10%,10347149,0.729431,0.184805,0.183779
圆盘区域,top15%,15522725,0.746755,0.179532,0.173421
圆盘区域,top25%,25875640,0.773568,0.179476,0.162598
