展示编号,选择排序,case_name,node_index,target_rmises,pred_rmises,node_label,x,y,z,RMises_native,abs_error,relative_error,pred_target_ratio,target_rank,target_rank_fraction,relative_error_for_color
代表样本 1,1,case843_mises_full_export,5733,193898.2903898033,187231.71677530155,5734,-113.3423843383789,-67.09803771972656,10.0,188641.6796875,6666.573614501744,0.0343818070860738,0.965618192913926,1,7.497938067031566e-05,0.0343818070860738
代表样本 1,1,case843_mises_full_export,5745,179635.86081275946,176821.99346527568,5746,-114.87606811523438,-64.43891906738281,10.0,173460.26041666666,2813.867347483785,0.0156642851530451,0.9843357148469548,2,0.0001499587613406,0.0156642851530451
代表样本 1,1,case843_mises_full_export,5753,153373.2319935564,139128.07957169737,5754,-113.142578125,-68.61567687988281,10.0,153998.953125,14245.152421859037,0.0928790000490927,0.9071209999509072,3,0.0002249381420109,0.0928790000490927
代表样本 1,1,case843_mises_full_export,5890,152198.7684027418,145016.5199519293,5891,-116.09048461914062,-63.5070686340332,10.0,150118.9765625,7182.248450812476,0.0471899249000959,0.952810075099904,4,0.0002999175226812,0.0471899249000959
代表样本 1,1,case843_mises_full_export,5732,141024.1048684701,143435.8457399411,5733,-113.31690216064452,-65.30825805664062,10.0,120015.71484375,2411.740871471004,0.0171016215541334,1.0171016215541335,5,0.0003748969033515,0.0171016215541334
代表样本 1,1,case843_mises_full_export,5754,133884.56323884244,110224.40792123308,5755,-113.52239227294922,-70.65341186523438,10.0,125401.90625,23660.15531760936,0.176720562440055,0.8232794375599449,6,0.0004498762840218,0.176720562440055
代表样本 1,1,case843_mises_full_export,5805,124249.6062846241,105349.6143003694,5806,-118.19810485839844,-62.95839691162109,10.0,115246.3203125,18899.99198425471,0.1521130935494448,0.8478869064505552,7,0.0005248556646922,0.1521130935494448
代表样本 1,1,case843_mises_full_export,6856,111067.01065994064,111341.36367673162,6857,1.5627143383026123,131.68206787109375,10.0,114449.80859375,274.3530167909921,0.0024701575666873,1.0024701575666872,8,0.0005998350453625,0.0024701575666873
代表样本 1,1,case843_mises_full_export,6608,108728.85339901924,111331.93472858204,6609,-1.5360273122787476,131.80545043945312,10.0,115172.0234375,2603.081329562803,0.0239410354122826,1.0239410354122829,9,0.0006748144260328,0.0239410354122826
代表样本 1,1,case843_mises_full_export,4660,108179.47658462918,106795.6654503756,4661,114.96857452392578,-64.57122802734375,10.0,111156.546875,1383.8111342535703,0.0127918083719975,0.9872081916280024,10,0.0007497938067031,0.0127918083719975
代表样本 1,1,case843_mises_full_export,6601,107837.86587081366,101619.75763072484,6602,-1.5242030620574951,131.72238159179688,5.0,111580.87890625,6218.108240088812,0.0576616403697928,0.9423383596302072,11,0.0008247731873734,0.0576616403697928
代表样本 1,1,case843_mises_full_export,4459,105974.19557169251,105607.31534500248,4460,113.47689819335938,-67.45719909667969,10.0,110793.8125,366.8802266900457,0.0034619769908217,0.9965380230091784,12,0.0008997525680437,0.0034619769908217
代表样本 1,1,case843_mises_full_export,6866,99883.85736628324,99824.8915313746,6867,1.569840669631958,131.73831176757812,5.0,105813.63020833331,58.9658349086385,0.0005903439901445,0.9994096560098554,13,0.0009747319487141,0.0005903439901445
代表样本 1,1,case843_mises_full_export,5735,98652.655778289,104275.6744986749,5736,-113.3423843383789,-67.09803771972656,9.25,99243.267578125,5623.01872038591,0.0569981484636665,1.0569981484636666,14,0.0010497113293844,0.0569981484636665
代表样本 1,1,case843_mises_full_export,6612,98608.74659004976,104240.07647390332,6613,-0.0072445208206772,130.88108825683594,10.0,100703.99609375,5631.32988385357,0.0571078132375511,1.057107813237551,15,0.0011246907100547,0.0571078132375511
代表样本 1,1,case843_mises_full_export,4497,96061.74823877156,94251.99247635386,4498,113.15406036376952,-66.71798706054688,5.0,98732.51953125,1809.7557624177132,0.0188395047518745,0.9811604952481254,16,0.001199670090725,0.0188395047518745
