region,group,points,mean_nodes_per_case,target_rmises_mean,target_rmises_max,pred_rmises_mean,pred_rmises_max,mae,relative_mae,within25_ratio,pred_target_ratio
fullpart,overall,1308216,,9011.614693632031,612647.2834420237,9224.106153765246,411525.3864598903,1102.8231024008721,0.12389366403413082,0.9009720107382879,1.0235797320854574
fullpart,top1pct,13133,131.33,102661.0619252017,612647.2834420237,99328.97193287541,411525.3864598903,9171.37029678137,0.08606794237080102,0.9566740272595751,0.9675428061054537
fullpart,top5pct,65460,654.6,59073.72762394516,612647.2834420237,58325.510158747406,411525.3864598903,5596.225617976714,0.09398155819684505,0.9474946532233425,0.9873341755245106
fullpart,top10pct,130870,1308.7,44695.1529703426,612647.2834420237,44400.45107007473,411525.3864598903,4447.421320609532,0.10136095958232752,0.9378543592878429,0.9934064013504234
fullpart,top15pct,196278,1962.78,37053.40863352665,612647.2834420237,36948.36260397129,411525.3864598903,3837.7051141189013,0.10782796755069048,0.9261302845963378,0.9971650103612787
fullpart,top25pct,327089,3270.89,28042.64759350254,612647.2834420237,28198.485562321493,411525.3864598903,3135.1813756998918,0.12357882129386172,0.8946953275713949,1.0055571774490744
earpiece_region,overall,308196,,24821.09071411707,612647.2834420237,25499.885949988737,411525.3864598903,3081.952825369558,0.20152080254911517,0.8147380238549494,1.027347518434619
earpiece_region,top1pct,3134,31.34,149624.58682688428,612647.2834420237,141003.2643291677,411525.3864598903,14007.108926429577,0.08738641712838965,0.9566049776643267,0.9423803087410263
earpiece_region,top5pct,15456,154.56,97112.4379522772,612647.2834420237,94303.65707974731,411525.3864598903,8718.880777601004,0.0868599587474503,0.9569746376811594,0.9710770223489787
earpiece_region,top10pct,30864,308.64,76877.89811708104,612647.2834420237,75521.86627928654,411525.3864598903,7099.602924172024,0.09064898556859562,0.9501036806635562,0.98236122642519
earpiece_region,top15pct,46272,462.72,66221.90422195557,612647.2834420237,65402.700237742516,411525.3864598903,6218.403100895832,0.09283636693062827,0.9459932572614108,0.9876294106332651
earpiece_region,top25pct,77085,770.85,54064.60660912501,612647.2834420237,53759.551387124346,411525.3864598903,5203.306352048398,0.09651861753575267,0.9431666342349354,0.9943575799190375
disk_region,overall,1000020,,4139.29486841913,142680.02338415844,4208.076244286542,102384.07438114032,492.87543725411814,0.09996976893026878,0.9275484490310194,1.0166166890868735
disk_region,top1pct,10049,100.49,38531.84428076309,142680.02338415844,36484.85344860582,102384.07438114032,3903.484426427957,0.10119496234403659,0.9437755000497562,0.9468753476412437
disk_region,top5pct,50049,500.49,26003.60616279901,142680.02338415844,25207.109704801114,102384.07438114032,2798.282239782595,0.11134545314526256,0.9212371875561949,0.9693697692154186
disk_region,top10pct,100047,1000.47,19961.785453802655,142680.02338415844,19540.369560676118,102384.07438114032,2264.16430083611,0.1190659974961774,0.9042250142433056,0.9788888677266963
disk_region,top15pct,150051,1500.51,16442.895104890194,142680.02338415844,16249.593565837698,102384.07438114032,1959.7915434411377,0.1284288845047227,0.8857921639975742,0.988244069075463
disk_region,top25pct,250043,2500.43,12050.427351855513,142680.02338415844,12086.160754775941,102384.07438114032,1558.8505840483424,0.15048175369616648,0.852457377331099,1.0029653224634334
