bin_index,left_log1p,right_log1p,left_raw,right_raw,left_raw_approx,right_raw_approx,stress_range_approx
0,0.0,0.24,0.0,0.2712491503214047,0,0.271249,0 - 0.271249
1,0.24,0.48,0.2712491503214047,0.6160744021928933,0.271249,0.616074,0.271249 - 0.616074
2,0.48,0.72,0.6160744021928933,1.0544332106438876,0.616074,1.05443,0.616074 - 1.05443
3,0.72,0.96,1.0544332106438876,1.6116964734231176,1.05443,1.6117,1.05443 - 1.6117
4,0.96,1.2,1.6116964734231176,2.3201169227365472,1.6117,2.32012,1.6117 - 2.32012
5,1.2,1.44,2.3201169227365472,3.2206958169965527,2.32012,3.2207,2.32012 - 3.2207
6,1.44,1.68,3.2206958169965527,4.365555971121975,3.2207,4.36556,3.2207 - 4.36556
7,1.68,1.92,4.365555971121975,5.820958469290749,4.36556,5.82096,4.36556 - 5.82096
8,1.92,2.16,5.820958469290749,7.671137658463456,5.82096,7.67114,5.82096 - 7.67114
9,2.16,2.4,7.671137658463456,10.0231763806416,7.67114,10.0232,7.67114 - 10.0232
10,2.4,2.64,10.0231763806416,13.013203607733608,10.0232,13.0132,10.0232 - 13.0132
11,2.64,2.88,13.013203607733608,16.814273179612197,13.0132,16.8143,13.0132 - 16.8143
12,2.88,3.12,16.814273179612197,21.6463796431754,16.8143,21.6464,16.8143 - 21.6464
13,3.12,3.36,21.6463796431754,27.789190879242675,21.6464,27.7892,21.6464 - 27.7892
14,3.36,3.6,27.789190879242675,35.598234443677974,27.7892,35.5982,27.7892 - 35.5982
15,3.6,3.84,35.598234443677974,45.5254744397892,35.5982,45.5255,35.5982 - 45.5255
16,3.84,4.08,45.5254744397892,58.14546984988227,45.5255,58.1455,45.5255 - 58.1455
17,4.08,4.32,58.14546984988227,74.18862829202311,58.1455,74.1886,58.1455 - 74.1886
18,4.32,4.56,74.18862829202311,94.58347983006624,74.1886,94.5835,74.1886 - 94.5835
19,4.56,4.8,94.58347983006624,120.51041751873484,94.5835,120.51,94.5835 - 120.51
20,4.8,5.04,120.51041751873484,153.47001502589086,120.51,153.47,120.51 - 153.47
21,5.04,5.279999999999999,153.47001502589086,195.3698753517982,153.47,195.37,153.47 - 195.37
22,5.279999999999999,5.52,195.3698753517982,248.6350371896937,195.37,248.635,195.37 - 248.635
23,5.52,5.76,248.6350371896937,316.34832891785044,248.635,316.348,248.635 - 316.348
24,5.76,6.0,316.34832891785044,402.4287934927351,316.348,402.429,316.348 - 402.429
25,6.0,6.24,402.4287934927351,511.858510942829,402.429,511.859,402.429 - 511.859
26,6.24,6.48,511.858510942829,650.9709462711719,511.859,650.971,511.859 - 650.971
27,6.48,6.72,650.9709462711719,827.8175114814695,650.971,827.818,650.971 - 827.818
