epoch,train_loss,val_loss,train_earpiece_stress_mae,train_earpiece_stress_rmse,train_earpiece_stress_log_mae,train_earpiece_stress_log_rmse,train_earpiece_stress_bias,train_earpiece_stress_relative_mae,train_earpiece_stress_symmetric_relative_mae,train_earpiece_stress_within25_ratio,train_earpiece_stress_miss25_rate,train_earpiece_stress_under_pred_ratio,train_earpiece_stress_over_pred_ratio,train_earpiece_stress_target_mean,train_earpiece_stress_pred_mean,train_points,train_relative_points,train_weighted_loss,val_earpiece_stress_mae,val_earpiece_stress_rmse,val_earpiece_stress_log_mae,val_earpiece_stress_log_rmse,val_earpiece_stress_bias,val_earpiece_stress_relative_mae,val_earpiece_stress_symmetric_relative_mae,val_earpiece_stress_within25_ratio,val_earpiece_stress_miss25_rate,val_earpiece_stress_under_pred_ratio,val_earpiece_stress_over_pred_ratio,val_earpiece_stress_target_mean,val_earpiece_stress_pred_mean,val_points,val_relative_points,val_earpiece_stress_top1_mae,val_earpiece_stress_top1_log_mae,val_earpiece_stress_top5_mae,val_earpiece_stress_top5_log_mae,val_earpiece_stress_peak_relative_error,val_top1_points,val_top5_points,val_samples,val_earpiece_stress_top1_points,val_earpiece_stress_top1_relative_points,val_earpiece_stress_top1_relative_mae,val_earpiece_stress_top1_within25_ratio,val_earpiece_stress_top1_miss25_rate,val_earpiece_stress_top1_under_pred_ratio,val_earpiece_stress_top1_over_pred_ratio,val_earpiece_stress_top1_target_mean,val_earpiece_stress_top1_pred_mean,val_earpiece_stress_top1_pred_target_ratio,val_earpiece_stress_top1_5_points,val_earpiece_stress_top1_5_relative_points,val_earpiece_stress_top1_5_mae,val_earpiece_stress_top1_5_log_mae,val_earpiece_stress_top1_5_relative_mae,val_earpiece_stress_top1_5_within25_ratio,val_earpiece_stress_top1_5_miss25_rate,val_earpiece_stress_top1_5_under_pred_ratio,val_earpiece_stress_top1_5_over_pred_ratio,val_earpiece_stress_top1_5_target_mean,val_earpiece_stress_top1_5_pred_mean,val_earpiece_stress_top1_5_pred_target_ratio,val_earpiece_stress_top5_points,val_earpiece_stress_top5_relative_points,val_earpiece_stress_top5_relative_mae,val_earpiece_stress_top5_within25_ratio,val_earpiece_stress_top5_miss25_rate,val_earpiece_stress_top5_under_pred_ratio,val_earpiece_stress_top5_over_pred_ratio,val_earpiece_stress_top5_target_mean,val_earpiece_stress_top5_pred_mean,val_earpiece_stress_top5_pred_target_ratio,val_earpiece_stress_top5_10_points,val_earpiece_stress_top5_10_relative_points,val_earpiece_stress_top5_10_mae,val_earpiece_stress_top5_10_log_mae,val_earpiece_stress_top5_10_relative_mae,val_earpiece_stress_top5_10_within25_ratio,val_earpiece_stress_top5_10_miss25_rate,val_earpiece_stress_top5_10_under_pred_ratio,val_earpiece_stress_top5_10_over_pred_ratio,val_earpiece_stress_top5_10_target_mean,val_earpiece_stress_top5_10_pred_mean,val_earpiece_stress_top5_10_pred_target_ratio,val_earpiece_stress_top10_points,val_earpiece_stress_top10_relative_points,val_earpiece_stress_top10_mae,val_earpiece_stress_top10_log_mae,val_earpiece_stress_top10_relative_mae,val_earpiece_stress_top10_within25_ratio,val_earpiece_stress_top10_miss25_rate,val_earpiece_stress_top10_under_pred_ratio,val_earpiece_stress_top10_over_pred_ratio,val_earpiece_stress_top10_target_mean,val_earpiece_stress_top10_pred_mean,val_earpiece_stress_top10_pred_target_ratio,val_weighted_loss,selection_metric,selection_score
1,0.00921312,0.00626839,771712.93512811,34168393.18366573,0.38181015,0.53601869,-7784.21814197,0.77969324,0.39106103,0.43906993,0.56093007,0.50766444,0.49058377,1921433.85967565,1913649.64782394,259475679.0,257441061.0,0.00872493,461042.12755765,20836428.8133114,0.28923848,0.44247179,-39204.32233538,0.59602426,0.29847004,0.58536012,0.41463988,0.53039911,0.46848889,2177059.09901951,2137854.77362417,30917997.0,30696010.0,12338900.7602126,0.1273439,4629296.45796326,0.17108819,0.15307055,314192.0,1550765.0,10113.0,304164.0,304164.0,0.12357397,0.89330756,0.10669244,0.58308676,0.41691324,63213464.55476283,54618277.81569424,0.86402918,1236979.0,1236979.0,2733561.66553773,0.18184458,0.19096835,0.74828595,0.25171405,0.47094817,0.52905102,15311559.05092487,15333304.17865952,1.00142018,1541143.0,1541143.0,0.17766722,0.77690779,0.22309221,0.49308014,0.50691922,24765604.21015365,23086689.17830374,0.93220779,1546072.0,1546072.0,1324419.00324725,0.22182027,0.23149073,0.68081758,0.31918242,0.53637217,0.46362783,5560724.90319918,5649858.70938217,1.01602917,3087215.0,3087215.0,2974219.46291571,0.19649473,0.20462194,0.72878598,0.27121402,0.51476071,0.48523896,15147833.30188224,14354354.19840457,0.94761765,0.00626839,composite_within25_low_falsepeak,0.61680736
2,0.00918579,0.00625974,773053.4228777,34731547.06792666,0.38122278,0.5352202,-7515.31963699,0.77257362,0.39053209,0.43960067,0.56039933,0.50774186,0.49051389,1921433.85721322,1913918.54464553,259475679.0,257441061.0,0.00870236,460229.11607111,19743946.40196815,0.28894608,0.44216988,4974.60784643,0.59588622,0.29820997,0.58578718,0.41421282,0.53058906,0.46827665,2177059.09901951,2182033.71181898,30917997.0,30696010.0,11763792.11210995,0.12770557,4573975.67939482,0.17121453,0.15053467,314192.0,1550765.0,10113.0,304164.0,304164.0,0.12437724,0.89173604,0.10826396,0.57509764,0.42490236,63213464.55476283,56811364.76823606,0.89872253,1236979.0,1236979.0,2806052.94689447,0.18191306,0.19107753,0.74805959,0.25194041,0.47005972,0.52994028,15311559.05092487,15667331.23162224,1.02323553,1541143.0,1541143.0,0.17791339,0.77641595,0.22358405,0.49079028,0.50920972,24765604.21015365,23787625.17348665,0.96051059,1546072.0,1546072.0,1340035.18307287,0.22130171,0.23087933,0.68179878,0.31820122,0.53602031,0.46397969,5560724.90319918,5725575.15376822,1.02964546,3087215.0,3087215.0,2954423.82998776,0.1962981,0.20443864,0.72903183,0.27096817,0.5134414,0.4865586,15147833.30188224,14742181.19819821,0.97322045,0.00625974,composite_within25_low_falsepeak,0.61603333
3,0.0091694,0.0062469,774774.69745719,34750000.91601969,0.38085131,0.53474279,-9342.5527478,0.78921856,0.39021047,0.44001164,0.55998836,0.50770964,0.49054742,1921433.85865486,1912091.30250769,259475679.0,257441061.0,0.00868924,458076.53013351,19394796.40142848,0.28862683,0.44171456,7232.41849286,0.59475828,0.29790119,0.58617596,0.41382404,0.53010271,0.46876646,2177059.09901951,2184291.50636693,30917997.0,30696010.0,11566091.50444132,0.12759219,4545557.05160867,0.17126894,0.15228027,314192.0,1550765.0,10113.0,304164.0,304164.0,0.12422724,0.89193659,0.10806341,0.57782972,0.42217028,63213464.55476283,57058031.96252882,0.90262466,1236979.0,1236979.0,2819259.45253247,0.18200873,0.19125261,0.74800542,0.25199458,0.47180025,0.52819813,15311559.05092487,15710361.81594409,1.02604586,1541143.0,1541143.0,0.17802431,0.77641205,0.22358795,0.4927265,0.5072722,24765604.21015365,23870845.78905106,0.96387092,1546072.0,1546072.0,1336433.74966906,0.22093704,0.2304965,0.68252125,0.31747875,0.536215,0.46378435,5560724.90319918,5715225.83348669,1.02778431,3087215.0,3087215.0,2938433.58082237,0.19614264,0.20430229,0.7293917,0.2706083,0.51450547,0.48549356,15147833.30188224,14778542.29294396,0.97562087,0.0062469,composite_within25_low_falsepeak,0.61563829
4,0.00915484,0.00623953,771355.91797457,34964114.16251012,0.38056373,0.53431646,-9143.0657093,0.77911926,0.38995273,0.44025203,0.55974797,0.50773226,0.49052653,1921433.85604362,1912290.7886997,259475679.0,257441061.0,0.00867558,457438.36940035,19336436.10970991,0.28854396,0.44145196,-4853.10293477,0.59338495,0.29786929,0.58638488,0.41361512,0.53160345,0.46728819,2177059.09901951,2172205.98455582,30917997.0,30696010.0,11688180.23750122,0.1283396,4546729.110736,0.17106123,0.15470238,314192.0,1550765.0,10113.0,304164.0,304164.0,0.12470316,0.89122644,0.10877356,0.5844117,0.4155883,63213464.55476283,56824471.30971279,0.89892987,1236979.0,1236979.0,2790699.03500442,0.18156617,0.19015606,0.74983003,0.25016997,0.47615441,0.52384559,15311559.05092487,15580521.63739906,1.01756598,1541143.0,1541143.0,0.17723811,0.77773639,0.22226361,0.49752035,0.50247965,24765604.21015365,23720534.90960495,0.95780158,1546072.0,1546072.0,1334254.87405735,0.22075676,0.22961298,0.68323467,0.31676533,0.53928666,0.46071334,5560724.90319918,5679004.42101262,1.02127052,3087215.0,3087215.0,2937927.49150468,0.19594867,0.20346735,0.73041009,0.26958991,0.51843684,0.48156316,15147833.30188224,14685367.2908993,0.96946982,0.00623953,composite_within25_low_falsepeak,0.61569065
5,0.00914262,0.00623122,774596.05570188,35002517.8684242,0.38029941,0.53396251,-10000.4933993,0.76866094,0.38972121,0.44048186,0.55951814,0.50774351,0.4905145,1921433.85837429,1911433.36775315,259475679.0,257441061.0,0.00866576,455859.67158048,19384424.60623748,0.28817114,0.44116016,-4974.63956354,0.59378499,0.29749081,0.58686207,0.41313793,0.52882258,0.47007838,2177059.09901951,2172084.44919372,30917997.0,30696010.0,11588962.06086912,0.1274953,4528717.12178338,0.17131391,0.1496178,314192.0,1550765.0,10113.0,304164.0,304164.0,0.12447909,0.89118042,0.10881958,0.57026801,0.42973199,63213464.55476283,56771967.46234562,0.89809929,1236979.0,1236979.0,2792655.09740109,0.18208858,0.19138265,0.74766104,0.25233896,0.4697703,0.5302297,15311559.05092487,15588116.57540877,1.01806201,1541143.0,1541143.0,0.17817839,0.77598639,0.22401361,0.48960479,0.51039521,24765604.21015365,23716268.88758134,0.95762933,1546072.0,1546072.0,1326599.33092117,0.22062593,0.2301135,0.68296819,0.31703181,0.53574025,0.46425975,5560724.90319918,5685186.4926896,1.02238226,3087215.0,3087215.0,2925101.9874744,0.19600929,0.2041874,0.72940304,0.27059696,0.51270935,0.48729065,15147833.30188224,14686333.5842073,0.96953362,0.00623122,composite_within25_low_falsepeak,0.61445565
6,0.00913172,0.0062274,775655.25342046,34769298.22045553,0.38004196,0.53364276,-11006.68622592,0.76944838,0.3894933,0.44075494,0.55924506,0.50779481,0.49046677,1921433.85175547,1910427.17301775,259475679.0,257441061.0,0.00865739,459747.64202994,19728527.55810002,0.28811946,0.44102496,6405.13434808,0.59329903,0.29745299,0.58679131,0.41320869,0.52924467,0.46962612,2177059.09901951,2183464.20184367,30917997.0,30696010.0,11771962.3445916,0.12766008,4579855.44383666,0.17120203,0.15105681,314192.0,1550765.0,10113.0,304164.0,304164.0,0.12451473,0.89109165,0.10890835,0.57264502,0.42735498,63213464.55476283,56647583.30661532,0.8961316,1236979.0,1236979.0,2811369.49270257,0.18190867,0.19118349,0.74765618,0.25234382,0.46852695,0.53147305,15311559.05092487,15693163.75845511,1.02492266,1541143.0,1541143.0,0.17802557,0.77596498,0.22403502,0.48907597,0.51092403,24765604.21015365,23776034.80314734,0.96004259,1546072.0,1546072.0,1331034.45078619,0.22045572,0.22995374,0.68297725,0.31702275,0.53424485,0.46575515,5560724.90319918,5735197.63082173,1.0313759,3087215.0,3087215.0,2952851.42169017,0.19586819,0.20403111,0.72939688,0.27060312,0.51169646,0.48830354,15147833.30188224,14741214.31491409,0.97315662,0.0062274,composite_within25_low_falsepeak,0.61461451
7,0.0091222,0.00621764,776447.25576041,35009264.93263892,0.37982975,0.53336264,-10597.59738114,0.77277802,0.38929044,0.44094404,0.55905596,0.50776124,0.49049602,1921433.8580435,1910836.25671872,259475679.0,257441061.0,0.0086503,458936.89155136,20301990.92270676,0.28782716,0.44067862,-37432.5765452,0.5924065,0.29719374,0.58730926,0.41269074,0.52934396,0.46955953,2177059.09901951,2139626.52139984,30917997.0,30696010.0,12173910.74543811,0.12733642,4627322.42317324,0.17104833,0.15179826,314192.0,1550765.0,10113.0,304164.0,304164.0,0.12412001,0.89174261,0.10825739,0.57410476,0.42589524,63213464.55476283,55197532.58266828,0.87319265,1236979.0,1236979.0,2771672.06276412,0.18179676,0.19100825,0.74807333,0.25192667,0.46975818,0.53024182,15311559.05092487,15321116.09108834,1.00062417,1541143.0,1541143.0,0.17780702,0.77642827,0.22357173,0.49035229,0.50964771,24765604.21015365,23191229.8170655,0.93642899,1546072.0,1546072.0,1312905.34015434,0.2202898,0.22950377,0.68332199,0.31667801,0.53562383,0.46437617,5560724.90319918,5622089.53432981,1.01103537,3087215.0,3087215.0,2967467.98023613,0.19570837,0.20369666,0.72980081,0.27019919,0.5130242,0.4869758,15147833.30188224,14392634.27192149,0.95014475,0.00621764,composite_within25_low_falsepeak,0.61398504
8,0.0091117,0.00621529,774308.84498736,34551628.42933051,0.37958827,0.53305632,-9989.08284791,0.77584926,0.38906165,0.4411668,0.5588332,0.50774964,0.49050751,1921433.85009134,1911444.77682572,259475679.0,257441061.0,0.00864017,454675.56345673,19489826.94358404,0.28770871,0.44059676,-14406.44424457,0.59252207,0.29704534,0.5873722,0.4126278,0.52760032,0.471252,2177059.09901951,2162652.65750265,30917997.0,30696010.0,11689967.91331135,0.12782606,4524501.68955168,0.17121186,0.14720852,314192.0,1550765.0,10113.0,304164.0,304164.0,0.12506944,0.8894478,0.1105522,0.56195342,0.43804658,63213464.55476283,56326332.919869,0.89104961,1236979.0,1236979.0,2762566.49229462,0.18188011,0.19133515,0.74744519,0.25255481,0.46477992,0.53522008,15311559.05092487,15484836.09591359,1.01131675,1541143.0,1541143.0,0.17825678,0.77547119,0.22452881,0.48395833,0.51604167,24765604.21015365,23545420.27765306,0.9507307,1546072.0,1546072.0,1317792.09250365,0.22011278,0.2297657,0.68330582,0.31669418,0.53181805,0.46818195,5560724.90319918,5670543.30007184,1.01974894,3087215.0,3087215.0,2918587.01874958,0.19570136,0.20405236,0.72931493,0.27068507,0.5079264,0.4920736,15147833.30188224,14593712.44045318,0.96341913,0.00621529,composite_within25_low_falsepeak,0.61345445
9,0.00909986,0.00621061,774281.91922795,34739487.98279943,0.37934217,0.53270917,-11414.68541562,0.76619752,0.38884393,0.44139315,0.55860685,0.50775072,0.49050759,1921433.85636979,1910019.17422802,259475679.0,257441061.0,0.00862958,458336.53054449,20360914.76253481,0.28758468,0.44043162,-28033.9850949,0.59273051,0.29695139,0.5874558,0.4125442,0.52689995,0.47199151,2177059.09901951,2149025.12079802,30917997.0,30696010.0,12175173.04032731,0.12788495,4610597.31149021,0.17127222,0.15067295,314192.0,1550765.0,10113.0,304164.0,304164.0,0.12506871,0.88959246,0.11040754,0.56467564,0.43532436,63213464.55476283,55100925.62574781,0.87166438,1236979.0,1236979.0,2750523.99694017,0.18194083,0.19153764,0.74719458,0.25280542,0.46480175,0.53519825,15311559.05092487,15391896.40887854,1.00524684,1541143.0,1541143.0,0.17841916,0.77529859,0.22470141,0.48451312,0.51548688,24765604.21015365,23228973.95506962,0.93795305,1546072.0,1546072.0,1304819.26610379,0.21995712,0.22972082,0.68327154,0.31672846,0.5311512,0.4688488,5560724.90319918,5661342.59841838,1.01809435,3087215.0,3087215.0,2955069.30512432,0.19565354,0.20411094,0.7292116,0.2707884,0.50786939,0.49213061,15147833.30188224,14431134.07849393,0.95268635,0.00621061,composite_within25_low_falsepeak,0.61364973
10,0.00909013,0.00620183,774324.68932542,34583268.56189692,0.37912514,0.5324299,-11446.09483553,0.76208559,0.38865329,0.44158785,0.55841215,0.50776145,0.49050127,1921433.85737123,1909987.76616759,259475679.0,257441061.0,0.00862208,462586.74222119,21202315.42279368,0.2874007,0.44011892,-45839.74345511,0.59136169,0.29678757,0.5879095,0.4120905,0.52835473,0.47054274,2177059.09901951,2131219.33657686,30917997.0,30696010.0,12653461.05330915,0.1280207,4702514.10762779,0.17108663,0.15094929,314192.0,1550765.0,10113.0,304164.0,304164.0,0.1248923,0.89072014,0.10927986,0.57194803,0.42804868,63213464.55476283,54262095.166973,0.85839458,1236979.0,1236979.0,2747434.91315309,0.18167622,0.1907484,0.74857455,0.25142545,0.47056417,0.52943583,15311559.05092487,15258263.91006734,0.99651929,1541143.0,1541143.0,0.17775087,0.77662877,0.22337123,0.49057355,0.5094258,24765604.21015365,22956161.76976349,0.92693728,1546072.0,1546072.0,1306896.49158529,0.2198273,0.22903119,0.68398432,0.31601568,0.53558502,0.46441498,5560724.90319918,5627048.73446793,1.01192719,3087215.0,3087215.0,3001994.60335034,0.19549587,0.20343196,0.73023259,0.26976741,0.51311522,0.48688446,15147833.30188224,14277771.59907427,0.94256197,0.00620183,composite_within25_low_falsepeak,0.61315295
