epoch,train_loss,val_loss,train_earpiece_stress_mae,train_earpiece_stress_rmse,train_earpiece_stress_log_mae,train_earpiece_stress_log_rmse,train_earpiece_stress_bias,train_earpiece_stress_relative_mae,train_earpiece_stress_symmetric_relative_mae,train_earpiece_stress_within25_ratio,train_earpiece_stress_miss25_rate,train_earpiece_stress_under_pred_ratio,train_earpiece_stress_over_pred_ratio,train_earpiece_stress_target_mean,train_earpiece_stress_pred_mean,train_points,train_relative_points,train_weighted_loss,val_earpiece_stress_mae,val_earpiece_stress_rmse,val_earpiece_stress_log_mae,val_earpiece_stress_log_rmse,val_earpiece_stress_bias,val_earpiece_stress_relative_mae,val_earpiece_stress_symmetric_relative_mae,val_earpiece_stress_within25_ratio,val_earpiece_stress_miss25_rate,val_earpiece_stress_under_pred_ratio,val_earpiece_stress_over_pred_ratio,val_earpiece_stress_target_mean,val_earpiece_stress_pred_mean,val_points,val_relative_points,val_earpiece_stress_top1_mae,val_earpiece_stress_top1_log_mae,val_earpiece_stress_top5_mae,val_earpiece_stress_top5_log_mae,val_earpiece_stress_peak_relative_error,val_top1_points,val_top5_points,val_samples,val_earpiece_stress_top1_points,val_earpiece_stress_top1_relative_points,val_earpiece_stress_top1_relative_mae,val_earpiece_stress_top1_within25_ratio,val_earpiece_stress_top1_miss25_rate,val_earpiece_stress_top1_under_pred_ratio,val_earpiece_stress_top1_over_pred_ratio,val_earpiece_stress_top1_target_mean,val_earpiece_stress_top1_pred_mean,val_earpiece_stress_top1_pred_target_ratio,val_earpiece_stress_top1_5_points,val_earpiece_stress_top1_5_relative_points,val_earpiece_stress_top1_5_mae,val_earpiece_stress_top1_5_log_mae,val_earpiece_stress_top1_5_relative_mae,val_earpiece_stress_top1_5_within25_ratio,val_earpiece_stress_top1_5_miss25_rate,val_earpiece_stress_top1_5_under_pred_ratio,val_earpiece_stress_top1_5_over_pred_ratio,val_earpiece_stress_top1_5_target_mean,val_earpiece_stress_top1_5_pred_mean,val_earpiece_stress_top1_5_pred_target_ratio,val_earpiece_stress_top5_points,val_earpiece_stress_top5_relative_points,val_earpiece_stress_top5_relative_mae,val_earpiece_stress_top5_within25_ratio,val_earpiece_stress_top5_miss25_rate,val_earpiece_stress_top5_under_pred_ratio,val_earpiece_stress_top5_over_pred_ratio,val_earpiece_stress_top5_target_mean,val_earpiece_stress_top5_pred_mean,val_earpiece_stress_top5_pred_target_ratio,val_earpiece_stress_top5_10_points,val_earpiece_stress_top5_10_relative_points,val_earpiece_stress_top5_10_mae,val_earpiece_stress_top5_10_log_mae,val_earpiece_stress_top5_10_relative_mae,val_earpiece_stress_top5_10_within25_ratio,val_earpiece_stress_top5_10_miss25_rate,val_earpiece_stress_top5_10_under_pred_ratio,val_earpiece_stress_top5_10_over_pred_ratio,val_earpiece_stress_top5_10_target_mean,val_earpiece_stress_top5_10_pred_mean,val_earpiece_stress_top5_10_pred_target_ratio,val_earpiece_stress_top10_points,val_earpiece_stress_top10_relative_points,val_earpiece_stress_top10_mae,val_earpiece_stress_top10_log_mae,val_earpiece_stress_top10_relative_mae,val_earpiece_stress_top10_within25_ratio,val_earpiece_stress_top10_miss25_rate,val_earpiece_stress_top10_under_pred_ratio,val_earpiece_stress_top10_over_pred_ratio,val_earpiece_stress_top10_target_mean,val_earpiece_stress_top10_pred_mean,val_earpiece_stress_top10_pred_target_ratio,val_weighted_loss,selection_metric,selection_score
1,0.09546181,0.05973461,4134093143155.577,inf,1.11328232,1.49531186,4134092887958.0913,1576625040.7699232,1.00605314,0.1318159,0.8681841,0.43197174,0.56760257,210871.67831847,4134093098704.7563,1997514226.0,1992765189.0,0.11483646,123886.24912703,9654378.51480437,0.8098375,1.18127371,-87750.5754529,2.82890189,0.78716471,0.20256724,0.79743276,0.49987175,0.49979894,229676.16148637,141925.58637908,244811750.0,244281469.0,6043904.84961561,0.96283131,1921001.291448,0.66556769,0.45088,2453038.0,12245397.0,10113.0,2443046.0,2443046.0,0.52688261,0.41809896,0.58190104,0.65558815,0.34441185,10907968.21227038,5746989.25827735,0.52686157,9792731.0,9792731.0,892438.04074401,0.59140772,0.47581844,0.41810053,0.58189947,0.61456145,0.38543844,1807125.00417662,1147467.41141112,0.63496848,12235777.0,12235777.0,0.48601412,0.41810022,0.58189978,0.62275301,0.3772469,3624237.12903399,2065827.02239157,0.57000327,12240759.0,12240759.0,255039.03230882,0.70220349,0.58391767,0.33683442,0.66316558,0.56047897,0.43952103,547983.29505441,427001.18977168,0.779223,24476536.0,24476536.0,1087850.60834023,0.68388932,0.53497586,0.37745905,0.62254095,0.59160965,0.4083903,2085797.12932774,1246247.31531767,0.5974921,0.05973461,composite_v6_fullpart_disk_center,1.57526375
2,0.06354219,0.05062728,134017.12004939,11869785.60598438,0.88152624,1.21459618,-53051.70315395,4.91037194,0.85892675,0.17349819,0.82650181,0.41283483,0.58691491,210871.67841484,157819.97524251,1997514226.0,1992765189.0,0.06580821,108870.23951811,9135718.37497381,0.72678097,1.08586606,-74811.13433156,2.35175578,0.72161712,0.23210424,0.76789576,0.5120343,0.48746814,229676.16148637,154865.02727835,244811750.0,244281469.0,5362302.58266182,0.78091283,1667935.61590584,0.54903161,0.47304847,2453038.0,12245397.0,10113.0,2443046.0,2443046.0,0.47319887,0.47957836,0.52042164,0.61912097,0.38087903,10907968.21227038,6272765.40729273,0.57506268,9792731.0,9792731.0,746281.74586591,0.49118294,0.3979097,0.47340144,0.52659856,0.60651783,0.39348217,1807125.00417662,1273565.69824223,0.70474687,12235777.0,12235777.0,0.41294225,0.47463475,0.52536525,0.60903423,0.39096577,3624237.12903399,2271726.63980163,0.62681512,12240759.0,12240759.0,219178.81481369,0.59683051,0.48786949,0.38267668,0.61732332,0.57651041,0.42348951,547983.29505441,456085.15972087,0.83229756,24476536.0,24476536.0,943409.77222005,0.57293593,0.45041349,0.42864636,0.57135364,0.59276901,0.40723095,2085797.12932774,1363721.12076002,0.65381292,0.05062728,composite_v6_fullpart_disk_center,1.44504243
3,0.053435,0.04286227,129970.69440091,22292185.15119019,0.79584222,1.11197152,-39120.66541784,5.01037355,0.80335225,0.1916731,0.8083269,0.42130863,0.57828022,210871.67874345,171751.01290203,1997514226.0,1992765189.0,0.05469421,100823.72493255,8669464.64547111,0.65999593,0.99756523,-66906.01840502,1.85005099,0.67990834,0.25172525,0.74827475,0.53443421,0.46457496,229676.16148637,162770.1422062,244811750.0,244281469.0,4981126.40119621,0.66296071,1535277.04353977,0.47747993,0.4456874,2453038.0,12245397.0,10113.0,2443046.0,2443046.0,0.42264271,0.50372731,0.49627269,0.61695768,0.38304191,10907968.21227038,6680177.29043854,0.61241261,9792731.0,9792731.0,675622.21149569,0.43120703,0.35746446,0.49368292,0.50631708,0.60460243,0.39539746,1807125.00417662,1346187.9795293,0.74493351,12235777.0,12235777.0,0.37047822,0.49568842,0.50431158,0.60706933,0.3929305,3624237.12903399,2411194.40985867,0.66529709,12240759.0,12240759.0,205418.50233458,0.53160718,0.44482287,0.4036811,0.5963189,0.57842982,0.4215701,547983.29505441,465300.90309612,0.84911512,24476536.0,24476536.0,870212.43476945,0.50454906,0.40765811,0.4496754,0.5503246,0.59274666,0.40725322,2085797.12932774,1438049.61977149,0.68944846,0.04286227,composite_v6_fullpart_disk_center,1.34560071
4,0.04626645,0.03774034,127596.60710535,8892626.18710339,0.73401343,1.03346938,-31403.78543834,2.81186814,0.76274347,0.20555396,0.79444604,0.43117833,0.56829141,210871.67788418,179467.89261506,1997514226.0,1992765189.0,0.04731472,97065.54300549,8340865.57855376,0.61668729,0.93482502,-61167.67441668,1.57962682,0.65546298,0.26176478,0.73823522,0.5466669,0.45218934,229676.16148637,168508.48514316,244811750.0,244281469.0,4763707.72112426,0.59049088,1476926.7637656,0.43537316,0.40721071,2453038.0,12245397.0,10113.0,2443046.0,2443046.0,0.40846146,0.51914536,0.48085464,0.59954704,0.40045255,10907968.21227038,7029714.74266395,0.64445684,9792731.0,9792731.0,656955.60879606,0.3966751,0.34524909,0.50154252,0.49845748,0.59297544,0.40702446,1807125.00417662,1376403.74704862,0.76165387,12235777.0,12235777.0,0.35787034,0.50505718,0.49494282,0.59428756,0.40571228,3624237.12903399,2505167.26821061,0.69122609,12240759.0,12240759.0,200383.48243123,0.4894195,0.42761865,0.41912278,0.58087722,0.57173195,0.42826805,547983.29505441,469738.45724757,0.8572131,24476536.0,24476536.0,838525.21580757,0.46240183,0.39275159,0.46208124,0.53791876,0.58300746,0.41699246,2085797.12932774,1487245.71592339,0.71303469,0.03774034,composite_v6_fullpart_disk_center,1.28202937
5,0.04144334,0.03460475,127080.13389363,8952210.81361954,0.69163749,0.97721734,-26408.95087438,2.42044262,0.73289536,0.21603428,0.78396572,0.43755505,0.56189839,210871.67838659,184462.72691188,1997514226.0,1992765189.0,0.04224659,94247.38052989,8134413.64645776,0.5906795,0.89396057,-55094.20991522,1.44418645,0.63761079,0.26670685,0.73329315,0.55102116,0.44782795,229676.16148637,174581.95049838,244811750.0,244281469.0,4600103.33434255,0.54312888,1432643.86624869,0.4097525,0.38830997,2453038.0,12245397.0,10113.0,2443046.0,2443046.0,0.39395411,0.52996628,0.47003372,0.58547485,0.41452474,10907968.21227038,7365979.75228696,0.67528431,9792731.0,9792731.0,642440.47088764,0.37647837,0.33847221,0.50933698,0.49066302,0.58269435,0.41730555,1807125.00417662,1411736.58620686,0.78120583,12235777.0,12235777.0,0.34954995,0.51345591,0.48654409,0.58324951,0.41675032,3624237.12903399,2600585.4837522,0.7175539,12240759.0,12240759.0,197316.10675154,0.46508423,0.41941555,0.42836943,0.57163057,0.56482274,0.43517726,547983.29505441,476643.66521838,0.86981423,24476536.0,24476536.0,814854.26051686,0.43742399,0.38448986,0.47090401,0.52909599,0.57403425,0.42596567,2085797.12932774,1538398.41972442,0.73755899,0.03460475,composite_v6_fullpart_disk_center,1.24470623
6,0.03815334,0.03244375,126502.82667294,8968285.87746247,0.66218135,0.93685345,-22424.24657016,2.23099436,0.71052628,0.22413162,0.77586838,0.44122616,0.5582608,210871.67841139,188447.43225718,1997514226.0,1992765189.0,0.03870554,92701.10296919,8046456.0670234,0.57240649,0.86450421,-51137.06465052,1.37061854,0.62128513,0.27212864,0.72787136,0.55278413,0.44610394,229676.16148637,178539.09493957,244811750.0,244281469.0,4537980.27260942,0.51299317,1410611.54812784,0.39455441,0.36599977,2453038.0,12245397.0,10113.0,2443046.0,2443046.0,0.38826368,0.53824652,0.46175348,0.57624826,0.42375133,10907968.21227038,7565728.96992068,0.69359654,9792731.0,9792731.0,630409.79891371,0.36500684,0.33544455,0.51584568,0.48415432,0.57585979,0.42414021,1807125.00417662,1436041.94256223,0.79465557,12235777.0,12235777.0,0.34599064,0.52031833,0.47968167,0.57593735,0.42406257,3624237.12903399,2659920.69602252,0.73392568,12240759.0,12240759.0,194829.19990659,0.45023936,0.41433369,0.4334469,0.5665531,0.56184988,0.43815012,547983.29505441,480976.68457402,0.87772144,24476536.0,24476536.0,802596.6460899,0.42240255,0.38016912,0.47687377,0.52312623,0.56889218,0.43110778,2085797.12932774,1570226.93289152,0.75281863,0.03244375,composite_v6_fullpart_disk_center,1.21672123
7,0.03573398,0.03063627,125915.33190652,9023876.79352053,0.64024557,0.90596161,-20351.5280347,2.11239587,0.69330132,0.23071144,0.76928856,0.44353974,0.5559856,210871.6785752,190520.15051462,1997514226.0,1992765189.0,0.03608935,90634.30719541,7930379.62455985,0.55639089,0.83907935,-45569.60765839,1.32708344,0.60528755,0.27961633,0.72038367,0.55150188,0.44743569,229676.16148637,184106.55475415,244811750.0,244281469.0,4439988.33062019,0.48950264,1375902.10357521,0.38354661,0.35033763,2453038.0,12245397.0,10113.0,2443046.0,2443046.0,0.37684567,0.54670235,0.45329765,0.57148412,0.42851588,10907968.21227038,7854950.73217607,0.72011126,9792731.0,9792731.0,611487.81603023,0.35711318,0.33294044,0.52095437,0.47904563,0.57105643,0.42894357,1807125.00417662,1478132.93419137,0.81794725,12235777.0,12235777.0,0.34170674,0.52609532,0.47390468,0.57114182,0.42885818,3624237.12903399,2751354.8401076,0.7591542,12240759.0,12240759.0,191790.45207885,0.43890088,0.40955007,0.43846799,0.56153201,0.5599799,0.44002002,547983.29505441,488079.04787654,0.89068235,24476536.0,24476536.0,783725.76602036,0.41122938,0.37563531,0.48227274,0.51772726,0.56555973,0.43444023,2085797.12932774,1619486.60901258,0.77643534,0.03063627,composite_v6_fullpart_disk_center,1.19123887
8,0.03380561,0.02896177,125214.26558279,9091093.29967416,0.62262431,0.88054282,-18364.78602226,2.02447231,0.67950924,0.23632963,0.76367037,0.44535008,0.55419969,210871.67848706,192506.89218283,1997514226.0,1992765189.0,0.03403566,89264.02928933,7876264.15374736,0.54132262,0.81494256,-44037.33782064,1.29891888,0.59065127,0.2877935,0.7122065,0.54891827,0.45007095,229676.16148637,185638.82226878,244811750.0,244281469.0,4405088.7560839,0.47151823,1355405.78220042,0.3749903,0.34141093,2453038.0,12245397.0,10113.0,2443046.0,2443046.0,0.36563982,0.55462484,0.44537516,0.57288975,0.42711025,10907968.21227038,7893774.75625623,0.7236705,9792731.0,9792731.0,594584.72658533,0.35090895,0.33011736,0.52523019,0.47476981,0.56563792,0.43436198,1807125.00417662,1495443.70864647,0.82752643,12235777.0,12235777.0,0.33720992,0.53109925,0.46890075,0.56708585,0.43291407,3624237.12903399,2772961.02758441,0.76511578,12240759.0,12240759.0,188670.27327132,0.42980221,0.40517129,0.44278137,0.55721863,0.55693622,0.4430637,547983.29505441,489686.03412037,0.89361489,24476536.0,24476536.0,771919.28680218,0.40240184,0.37119752,0.48693132,0.51306868,0.56201,0.43798992,2085797.12932774,1631091.16290032,0.78199895,0.02896177,composite_v6_fullpart_disk_center,1.16787305
9,0.03217162,0.027416,124620.59355426,9041170.26644155,0.60752963,0.85844438,-16700.18450709,1.95529126,0.66781871,0.24140407,0.75859593,0.44694436,0.55261343,210871.67845494,194171.49417744,1997514226.0,1992765189.0,0.03234254,87970.06336637,7815696.76981456,0.52724224,0.792174,-39509.50632029,1.27648861,0.57772332,0.29594572,0.70405428,0.54600365,0.45300837,229676.16148637,190166.65193259,244811750.0,244281469.0,4348561.76456946,0.45841767,1332557.95210688,0.36873763,0.3254226,2453038.0,12245397.0,10113.0,2443046.0,2443046.0,0.36638749,0.55774431,0.44225569,0.56300659,0.43699341,10907968.21227038,8122033.44978499,0.74459636,9792731.0,9792731.0,580139.03321899,0.34636466,0.32979358,0.52741978,0.47258022,0.5588631,0.4411367,1807125.00417662,1534158.64952709,0.84894993,12235777.0,12235777.0,0.33710007,0.5334745,0.4665255,0.55969041,0.44030943,3624237.12903399,2849521.06749976,0.78624024,12240759.0,12240759.0,187436.39638766,0.42272045,0.40269488,0.44585136,0.55414864,0.55420469,0.44579531,547983.29505441,496565.03543972,0.9061682,24476536.0,24476536.0,759880.63356849,0.39573453,0.36990415,0.48965401,0.51034599,0.55694699,0.44305293,2085797.12932774,1672803.58930973,0.80199726,0.027416,composite_v6_fullpart_disk_center,1.14547082
10,0.03074573,0.0259664,124149.92766339,9086397.05056543,0.59421432,0.8387343,-15126.48539961,1.90625046,0.65758577,0.24605103,0.75394897,0.44851232,0.55104312,210871.67859493,195745.19283251,1997514226.0,1992765189.0,0.03088779,87266.77148723,7803040.00447338,0.51378589,0.77039372,-41824.46890408,1.25812589,0.56556387,0.30424518,0.69575482,0.54334186,0.45570367,229676.16148637,187851.69219024,244811750.0,244281469.0,4335954.14071333,0.44574017,1323827.75709638,0.36282628,0.31755542,2453038.0,12245397.0,10113.0,2443046.0,2443046.0,0.36188468,0.56244541,0.43755459,0.57050215,0.42949744,10907968.21227038,7964238.76771975,0.73013036,9792731.0,9792731.0,572376.15806613,0.3421413,0.32780457,0.5304653,0.4695347,0.56048502,0.43951478,1807125.00417662,1521830.79506838,0.84212813,12235777.0,12235777.0,0.33460914,0.53685058,0.46314942,0.56248508,0.43751468,3624237.12903399,2808148.70112858,0.77482477,12240759.0,12240759.0,186098.37303244,0.41614031,0.39901002,0.44957024,0.55042976,0.5557675,0.44423234,547983.29505441,491314.98128927,0.89658752,24476536.0,24476536.0,754847.27667706,0.38948872,0.36681613,0.49320153,0.50679847,0.55912561,0.44087419,2085797.12932774,1649496.04904104,0.79082286,0.0259664,composite_v6_fullpart_disk_center,1.12453677
